Nuclide;Z;N;A;Nuclide
Rf-254;104;150;254;254Rf
Rf-253;104;149;253;253Rf
Rf-253;104;149;253;253Rf
Rf-253;104;149;253;253Rf
Rf-253;104;149;253;253Rf
Db-269;105;164;269;269Db
Db-269;105;164;269;269Db
Db-268;105;163;268;268Db
Db-270;105;165;270;270Db
Db-270;105;165;270;270Db
Db-270;105;165;270;270Db
Db-265;105;160;265;265Db
Db-267;105;162;267;267Db
Db-266;105;161;266;266Db
Db-266;105;161;266;266Db
Db-258;105;153;258;258Db
Db-258;105;153;258;258Db
Db-258;105;153;258;258Db
Db-258;105;153;258;258Db
Db-257;105;152;257;257Db
Db-257;105;152;257;257Db
Db-257;105;152;257;257Db
Db-257;105;152;257;257Db
Db-260;105;155;260;260Db
Db-260;105;155;260;260Db
Db-260;105;155;260;260Db
Db-259;105;154;259;259Db
Db-262;105;157;262;262Db
Db-262;105;157;262;262Db
Db-261;105;156;261;261Db
Db-261;105;156;261;261Db
Db-264;105;159;264;264Db
Db-263;105;158;263;263Db
Db-263;105;158;263;263Db
Db-263;105;158;263;263Db
Db-256;105;151;256;256Db
Db-256;105;151;256;256Db
Db-256;105;151;256;256Db
Db-255;105;150;255;255Db
Db-255;105;150;255;255Db
Sg-264;106;158;264;264Sg
Sg-264;106;158;264;264Sg
Sg-263;106;157;263;263Sg
Sg-263;106;157;263;263Sg
Sg-263;106;157;263;263Sg
Sg-263;106;157;263;263Sg
Sg-262;106;156;262;262Sg
Sg-262;106;156;262;262Sg
Sg-261;106;155;261;261Sg
Sg-261;106;155;261;261Sg
Sg-260;106;154;260;260Sg
Sg-260;106;154;260;260Sg
Sg-259;106;153;259;259Sg
Sg-259;106;153;259;259Sg
Sg-259;106;153;259;259Sg
Sg-259;106;153;259;259Sg
Sg-259;106;153;259;259Sg
Sg-258;106;152;258;258Sg
Sg-258;106;152;258;258Sg
Sg-265;106;159;265;265Sg
Sg-265;106;159;265;265Sg
Sg-265;106;159;265;265Sg
Sg-265;106;159;265;265Sg
Sg-267;106;161;267;267Sg
Sg-266;106;160;266;266Sg
Sg-266;106;160;266;266Sg
Sg-273;106;167;273;273Sg
Sg-272;106;166;272;272Sg
Sg-272;106;166;272;272Sg
Sg-271;106;165;271;271Sg
Sg-271;106;165;271;271Sg
Sg-270;106;164;270;270Sg
Sg-270;106;164;270;270Sg
Sg-269;106;163;269;269Sg
Sg-268;106;162;268;268Sg
Sg-268;106;162;268;268Sg
Bh-278;107;171;278;278Bh
Bh-277;107;170;277;277Bh
Bh-276;107;169;276;276Bh
Bh-262;107;155;262;262Bh
Bh-262;107;155;262;262Bh
Bh-261;107;154;261;261Bh
Bh-261;107;154;261;261Bh
Bh-264;107;157;264;264Bh
Bh-263;107;156;263;263Bh
Bh-260;107;153;260;260Bh
Bh-260;107;153;260;260Bh
Bh-260;107;153;260;260Bh
Bh-267;107;160;267;267Bh
Bh-273;107;166;273;273Bh
Bh-273;107;166;273;273Bh
Bh-272;107;165;272;272Bh
Bh-275;107;168;275;275Bh
Bh-274;107;167;274;274Bh
Bh-274;107;167;274;274Bh
Bh-269;107;162;269;269Bh
Bh-268;107;161;268;268Bh
Bh-271;107;164;271;271Bh
Bh-270;107;163;270;270Bh
Bh-266;107;159;266;266Bh
Bh-265;107;158;265;265Bh
Hs-267;108;159;267;267Hs
Hs-267;108;159;267;267Hs
Hs-267;108;159;267;267Hs
Hs-266;108;158;266;266Hs
Hs-266;108;158;266;266Hs
Hs-265;108;157;265;265Hs
Hs-265;108;157;265;265Hs
Hs-265;108;157;265;265Hs
Hs-271;108;163;271;271Hs
Hs-271;108;163;271;271Hs
Hs-270;108;162;270;270Hs
Hs-269;108;161;269;269Hs
Hs-268;108;160;268;268Hs
Hs-275;108;167;275;275Hs
Hs-274;108;166;274;274Hs
Hs-274;108;166;274;274Hs
Hs-273;108;165;273;273Hs
Hs-272;108;164;272;272Hs
Hs-272;108;164;272;272Hs
Hs-264;108;156;264;264Hs
Hs-264;108;156;264;264Hs
Hs-263;108;155;263;263Hs
Hs-263;108;155;263;263Hs
Hs-277;108;169;277;277Hs
Hs-276;108;168;276;276Hs
Hs-276;108;168;276;276Hs
Hs-278;108;170;278;278Hs
Hs-280;108;172;280;280Hs
Hs-279;108;171;279;279Hs
Mt-280;109;171;280;280Mt
Mt-279;109;170;279;279Mt
Mt-279;109;170;279;279Mt
Mt-282;109;173;282;282Mt
Mt-281;109;172;281;281Mt
Mt-277;109;168;277;277Mt
Mt-277;109;168;277;277Mt
Mt-276;109;167;276;276Mt
Mt-278;109;169;278;278Mt
Mt-278;109;169;278;278Mt
Mt-269;109;160;269;269Mt
Mt-271;109;162;271;271Mt
Mt-270;109;161;270;270Mt
Mt-273;109;164;273;273Mt
Mt-273;109;164;273;273Mt
Mt-272;109;163;272;272Mt
Mt-272;109;163;272;272Mt
Mt-275;109;166;275;275Mt
Mt-274;109;165;274;274Mt
Mt-274;109;165;274;274Mt
Mt-266;109;157;266;266Mt
Mt-265;109;156;265;265Mt
Mt-268;109;159;268;268Mt
Mt-267;109;158;267;267Mt
Ds-267;110;157;267;267Ds
Ds-269;110;159;269;269Ds
Ds-268;110;158;268;268Ds
Ds-281;110;171;281;281Ds
Ds-281;110;171;281;281Ds
Ds-281;110;171;281;281Ds
Ds-281;110;171;281;281Ds
Ds-280;110;170;280;280Ds
Ds-284;110;174;284;284Ds
Ds-283;110;173;283;283Ds
Ds-282;110;172;282;282Ds
Ds-270;110;160;270;270Ds
Ds-270;110;160;270;270Ds
Ds-270;110;160;270;270Ds
Ds-270;110;160;270;270Ds
Ds-278;110;168;278;278Ds
Ds-278;110;168;278;278Ds
Ds-277;110;167;277;277Ds
Ds-276;110;166;276;276Ds
Ds-276;110;166;276;276Ds
Ds-275;110;165;275;275Ds
Ds-274;110;164;274;274Ds
Ds-274;110;164;274;274Ds
Ds-273;110;163;273;273Ds
Ds-272;110;162;272;272Ds
Ds-271;110;161;271;271Ds
Ds-271;110;161;271;271Ds
Ds-271;110;161;271;271Ds
Ds-279;110;169;279;279Ds
Ds-279;110;169;279;279Ds
Rg-286;111;175;286;286Rg
Rg-284;111;173;284;284Rg
Rg-285;111;174;285;285Rg
Rg-282;111;171;282;282Rg
Rg-282;111;171;282;282Rg
Rg-283;111;172;283;283Rg
Rg-283;111;172;283;283Rg
Rg-281;111;170;281;281Rg
Rg-281;111;170;281;281Rg
Rg-277;111;166;277;277Rg
Rg-277;111;166;277;277Rg
Rg-278;111;167;278;278Rg
Rg-278;111;167;278;278Rg
Rg-275;111;164;275;275Rg
Rg-276;111;165;276;276Rg
Rg-276;111;165;276;276Rg
Rg-273;111;162;273;273Rg
Rg-274;111;163;274;274Rg
Rg-272;111;161;272;272Rg
Rg-279;111;168;279;279Rg
Rg-280;111;169;280;280Rg
Cn-276;112;164;276;276Cn
Cn-277;112;165;277;277Cn
Cn-278;112;166;278;278Cn
Cn-278;112;166;278;278Cn
Cn-279;112;167;279;279Cn
Cn-279;112;167;279;279Cn
Cn-280;112;168;280;280Cn
Cn-280;112;168;280;280Cn
Cn-281;112;169;281;281Cn
Cn-286;112;174;286;286Cn
Cn-287;112;175;287;287Cn
Cn-288;112;176;288;288Cn
Cn-282;112;170;282;282Cn
Cn-283;112;171;283;283Cn
Cn-283;112;171;283;283Cn
Cn-283;112;171;283;283Cn
Cn-283;112;171;283;283Cn
Cn-284;112;172;284;284Cn
Cn-285;112;173;285;285Cn
Nh-278;113;165;278;278Nh
Nh-281;113;168;281;281Nh
Nh-282;113;169;282;282Nh
Nh-279;113;166;279;279Nh
Nh-280;113;167;280;280Nh
Nh-284;113;171;284;284Nh
Nh-285;113;172;285;285Nh
Nh-285;113;172;285;285Nh
Nh-283;113;170;283;283Nh
Nh-288;113;175;288;288Nh
Nh-289;113;176;289;289Nh
Nh-286;113;173;286;286Nh
Nh-286;113;173;286;286Nh
Nh-287;113;174;287;287Nh
Nh-287;113;174;287;287Nh
Nh-290;113;177;290;290Nh
Fl-284;114;170;284;284Fl
Fl-285;114;171;285;285Fl
Fl-286;114;172;286;286Fl
Fl-286;114;172;286;286Fl
Fl-287;114;173;287;287Fl
Fl-288;114;174;288;288Fl
Fl-289;114;175;289;289Fl
Fl-289;114;175;289;289Fl
Fl-290;114;176;290;290Fl
Fl-291;114;177;291;291Fl
Mc-292;115;177;292;292Mc
Mc-290;115;175;290;290Mc
Mc-290;115;175;290;290Mc
Mc-291;115;176;291;291Mc
Mc-291;115;176;291;291Mc
Mc-288;115;173;288;288Mc
Mc-289;115;174;289;289Mc
Mc-289;115;174;289;289Mc
Mc-287;115;172;287;287Mc
Lv-290;116;174;290;290Lv
Lv-291;116;175;291;291Lv
Lv-292;116;176;292;292Lv
Lv-293;116;177;293;293Lv
Lv-289;116;173;289;289Lv
Ts-292;117;175;292;292Ts
Ts-292;117;175;292;292Ts
Ts-293;117;176;293;293Ts
Ts-293;117;176;293;293Ts
Ts-291;117;174;291;291Ts
Ts-291;117;174;291;291Ts
Ts-294;117;177;294;294Ts
Og-293;118;175;293;293Og
Og-294;118;176;294;294Og
Og-295;118;177;295;295Og
